GPU,August 2022(Avg Price),QTY Sold
GeForce RTX 3090 Ti ,"$1,247",123
GeForce RTX 3090 ,$957,772
GeForce RTX 3080 Ti ,$836,557
GeForce RTX 3080 12GB ,$771,128
GeForce RTX 3080 ,$665,1066
GeForce RTX 3070 Ti ,$547,556
GeForce RTX 3070 ,$463,1284
GeForce RTX 3060 Ti ,$424,1253
GeForce RTX 3060 ,$339,722
GeForce RTX 3050 ,$279,78
Radeon RX 6950 XT ,$914,11
Radeon RX 6900 XT ,$685,266
Radeon RX 6800 XT ,$563,144
Radeon RX 6800 ,$486,102
Radeon RX 6750 XT ,$456,14
Radeon RX 6700 XT ,$378,373
Radeon RX 6650 XT ,$345,22
Radeon RX 6600 XT ,$274,183
Radeon RX 6600 ,$232,218
Radeon RX 6500 XT ,$153,50
Radeon RX 6400 ,$143,14
GeForce RTX 2080 Ti ,$492,322
GeForce RTX 2080 Super ,$371,198
GeForce RTX 2080 ,$335,153
GeForce RTX 2070 Super ,$302,345
GeForce RTX 2070 ,$268,193
GeForce RTX 2060 Super ,$267,185
GeForce RTX 2060 ,$217,340
GeForce GTX 1660 Ti ,$172,190
GeForce GTX 1660 Super ,$178,580
GeForce GTX 1660 ,$154,139
GeForce GTX 1650 Super ,$147,133
GeForce GTX 1650 ,$138,247
Radeon RX 5700 XT ,$276,802
Radeon RX 5700 ,$256,132
Radeon RX 5600 XT ,$192,216
Radeon RX 5500 XT 8GB ,$159,38
Radeon RX 5500 XT 4GB ,$118,20
