GPU,February 2022(Avg Price),QTY Sold
GeForce RTX 3090 ,"$2,341",968
GeForce RTX 3080 Ti ,"$1,721",753
GeForce RTX 3080 12GB ,"$1,547",82
GeForce RTX 3080 ,"$1,440",1222
GeForce RTX 3070 Ti ,"$1,001",929
GeForce RTX 3070 ,$988,1512
GeForce RTX 3060 Ti ,$847,2084
GeForce RTX 3060 12GB ,$636,1485
GeForce RTX 3050 ,$455,330
Radeon RX 6900 XT ,"$1,421",139
Radeon RX 6800 XT ,"$1,176",192
Radeon RX 6800 ,"$1,033",112
Radeon RX 6700 XT ,$783,398
Radeon RX 6600 XT ,$568,320
Radeon RX 6600 ,$463,239
Radeon RX 6500 XT ,$272,124
GeForce RTX 2080 Ti ,$976,307
GeForce RTX 2080 Super ,$741,188
GeForce RTX 2080 ,$665,132
GeForce RTX 2070 Super ,$627,281
GeForce RTX 2070 ,$579,191
GeForce RTX 2060 Super ,$579,218
GeForce RTX 2060 ,$446,218
GeForce GTX 1660 Ti ,$403,221
GeForce GTX 1660 Super ,$422,799
GeForce GTX 1660 ,$363,244
GeForce GTX 1650 Super ,$265,162
GeForce GTX 1650 ,$253,377
Radeon RX 5700 XT ,$713,796
Radeon RX 5700 ,$694,125
Radeon RX 5600 XT ,$473,183
Radeon RX 5500 XT 8GB ,$355,63
Radeon RX 5500 XT 4GB ,$277,15
