GPU,January 2022(Avg Price),QTY Sold
GeForce RTX 3090 ,"$2,609",1353
GeForce RTX 3080 Ti ,"$1,874",871
GeForce RTX 3080 ,"$1,613",1569
GeForce RTX 3070 Ti ,"$1,179",1010
GeForce RTX 3070 ,"$1,086",1786
GeForce RTX 3060 Ti ,$923,2380
GeForce RTX 3060 12GB ,$711,1834
GeForce RTX 3050 ,$539,17
Radeon RX 6900 XT ,"$1,528",209
Radeon RX 6800 XT ,"$1,269",250
Radeon RX 6800 ,"$1,150",105
Radeon RX 6700 XT ,$847,540
Radeon RX 6600 XT ,$610,537
Radeon RX 6600 ,$516,449
Radeon RX 6500 XT ,$365,14
GeForce RTX 2080 Ti ,"$1,127",350
GeForce RTX 2080 Super ,$824,216
GeForce RTX 2080 ,$751,158
GeForce RTX 2070 Super ,$704,401
GeForce RTX 2070 ,$643,222
GeForce RTX 2060 Super ,$640,225
GeForce RTX 2060 ,$518,467
GeForce GTX 1660 Ti ,$459,300
GeForce GTX 1660 Super ,$498,725
GeForce GTX 1660 ,$401,262
GeForce GTX 1650 Super ,$311,214
GeForce GTX 1650 ,$281,563
Radeon RX 5700 XT ,$810,954
Radeon RX 5700 ,$794,182
Radeon RX 5600 XT ,$543,192
Radeon RX 5500 XT 8GB ,$365,84
Radeon RX 5500 XT 4GB ,$283,26
