GPU,July 2022(Avg Price),QTY Sold
GeForce RTX 3090 Ti ,"$1,452",80
GeForce RTX 3090 ,"$1,057",828
GeForce RTX 3080 Ti ,$901,432
GeForce RTX 3080 12GB ,$773,101
GeForce RTX 3080 ,$696,1186
GeForce RTX 3070 Ti ,$593,549
GeForce RTX 3070 ,$488,1459
GeForce RTX 3060 Ti ,$437,1428
GeForce RTX 3060 ,$355,478
GeForce RTX 3050 ,$288,116
Radeon RX 6950 XT ,$843,9
Radeon RX 6900 XT ,$697,160
Radeon RX 6800 XT ,$615,188
Radeon RX 6800 ,$513,149
Radeon RX 6750 XT ,$505,3
Radeon RX 6700 XT ,$393,518
Radeon RX 6650 XT ,$359,33
Radeon RX 6600 XT ,$285,423
Radeon RX 6600 ,$235,275
Radeon RX 6500 XT ,$162,44
Radeon RX 6400 ,$157,7
GeForce RTX 2080 Ti ,$517,328
GeForce RTX 2080 Super ,$403,188
GeForce RTX 2080 ,$347,203
GeForce RTX 2070 Super ,$322,402
GeForce RTX 2070 ,$286,227
GeForce RTX 2060 Super ,$276,173
GeForce RTX 2060 ,$227,522
GeForce GTX 1660 Ti ,$183,225
GeForce GTX 1660 Super ,$186,608
GeForce GTX 1660 ,$173,133
GeForce GTX 1650 Super ,$151,111
GeForce GTX 1650 ,$149,237
Radeon RX 5700 XT ,$276,856
Radeon RX 5700 ,$257,164
Radeon RX 5600 XT ,$194,260
Radeon RX 5500 XT 8GB ,$160,31
Radeon RX 5500 XT 4GB ,$149,29
